labels,properties
Name,name
Country,name
Country,country_code
Country,alpha3
Tag,label
AuthoritativeNameServer,name
Ranking,name
Prefix,prefixlen
Prefix,af
Prefix,network
Prefix,prefix
BGPCollector,name
BGPCollector,project
OpaqueID,id
Organization,name
URL,url
PeeringdbOrgID,id
Facility,name
PeeringdbFacID,id
PeeringdbIXID,id
IXP,name
PeeringdbNetID,id
CaidaIXID,id
DomainName,name
HostName,name
IP,ip
IP,af
AtlasProbe,country_code
AtlasProbe,asn_v6
AtlasProbe,type
AtlasProbe,prefix_v6
AtlasProbe,first_connected
AtlasProbe,prefix_v4
AtlasProbe,asn_v4
AtlasProbe,address_v4
AtlasProbe,geometry_coordinates_1
AtlasProbe,description
AtlasProbe,status_id
AtlasProbe,status_name
AtlasProbe,id
AtlasProbe,is_anchor
AtlasProbe,geometry_coordinates_0
AtlasProbe,address_v6
AtlasProbe,is_public
AtlasMeasurement,type
AtlasMeasurement,query_type
AtlasMeasurement,target_prefix
AtlasMeasurement,protocol
AtlasMeasurement,result
AtlasMeasurement,probes_requested
AtlasMeasurement,start_time
AtlasMeasurement,target_ip
AtlasMeasurement,target_hostname
AtlasMeasurement,creation_time
AtlasMeasurement,af
AtlasMeasurement,participant_count
AtlasMeasurement,interval
AtlasMeasurement,resolve_on_probe
AtlasMeasurement,is_oneoff
AtlasMeasurement,target_asn
AtlasMeasurement,use_probe_resolver
AtlasMeasurement,query_string
AtlasMeasurement,description
AtlasMeasurement,stop_time
AtlasMeasurement,status_id
AtlasMeasurement,status_name
AtlasMeasurement,query_class
AtlasMeasurement,id
AtlasMeasurement,probes_scheduled
AtlasMeasurement,method
AtlasMeasurement,is_public
AtlasMeasurement,query_argument
Estimate,name
AS,asn
