source,relationship,target
AtlasMeasurement,TARGET,AuthoritativeNameServer
AtlasMeasurement,TARGET,AS
AtlasMeasurement,TARGET,IP
AtlasMeasurement,TARGET,HostName
Country,POPULATION,Estimate
AS,POPULATION,Country
AtlasProbe,LOCATED_IN,AS
IXP,LOCATED_IN,Facility
AS,LOCATED_IN,Facility
AS,MEMBER_OF,IXP
Prefix,DEPENDS_ON,AS
AS,DEPENDS_ON,AS
AuthoritativeNameServer,RANK,Ranking
HostName,RANK,Ranking
DomainName,RANK,Ranking
AS,RANK,Ranking
AS,RESERVED,OpaqueID
Prefix,RESERVED,OpaqueID
Prefix,PART_OF,Prefix
IP,PART_OF,Prefix
URL,PART_OF,AuthoritativeNameServer
URL,PART_OF,HostName
Tag,PART_OF,Tag
AtlasProbe,PART_OF,AtlasMeasurement
AuthoritativeNameServer,PART_OF,DomainName
HostName,PART_OF,DomainName
IXP,MANAGED_BY,Organization
AS,MANAGED_BY,Organization
DomainName,MANAGED_BY,AuthoritativeNameServer
DomainName,MANAGED_BY,HostName
Facility,MANAGED_BY,Organization
Prefix,MANAGED_BY,IXP
Organization,SIBLING_OF,Organization
AS,SIBLING_OF,AS
AS,PEERS_WITH,BGPCollector
AS,PEERS_WITH,AS
Organization,NAME,Name
Facility,NAME,Name
AS,NAME,Name
IXP,NAME,Name
Prefix,AVAILABLE,OpaqueID
AS,AVAILABLE,OpaqueID
AS,COUNTRY,Country
Facility,COUNTRY,Country
Prefix,COUNTRY,Country
IXP,COUNTRY,Country
AtlasProbe,COUNTRY,Country
Ranking,COUNTRY,Country
Organization,COUNTRY,Country
AuthoritativeNameServer,RESOLVES_TO,IP
HostName,RESOLVES_TO,IP
HostName,ALIAS_OF,AuthoritativeNameServer
HostName,ALIAS_OF,HostName
AuthoritativeNameServer,ALIAS_OF,AuthoritativeNameServer
AuthoritativeNameServer,ALIAS_OF,HostName
AS,ROUTE_ORIGIN_AUTHORIZATION,Prefix
Facility,EXTERNAL_ID,PeeringdbFacID
AS,EXTERNAL_ID,PeeringdbNetID
Organization,EXTERNAL_ID,PeeringdbOrgID
IXP,EXTERNAL_ID,CaidaIXID
IXP,EXTERNAL_ID,PeeringdbIXID
DomainName,QUERIED_FROM,AS
DomainName,QUERIED_FROM,Country
Prefix,ASSIGNED,OpaqueID
AS,ASSIGNED,OpaqueID
IP,ASSIGNED,AtlasProbe
DomainName,PARENT,DomainName
AS,ORIGINATE,Prefix
URL,CATEGORIZED,Tag
Prefix,CATEGORIZED,Tag
AS,CATEGORIZED,Tag
IXP,WEBSITE,URL
Organization,WEBSITE,URL
AS,WEBSITE,URL
Facility,WEBSITE,URL
